"","SITE","DATE","PEN_ID","PEN_PLOT","REP","PLOT_ID","ZONE","Depth","PR","TILLAGE_DEPTH","TRAFFIC_CONTROL","TYRE_PRESSURE","TILLAGE_NUM","BLOCK","TRAFFIC.by.zone","TC","Layer"
"93","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",13,1.6,"D","STP","H",3,1,4,"HT","3"
"94","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",14,1.8,"D","STP","H",3,1,4,"HT","3"
"95","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",15,1.9,"D","STP","H",3,1,4,"HT","3"
"96","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",16,1.9,"D","STP","H",3,1,4,"HT","4"
"97","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",17,1.9,"D","STP","H",3,1,4,"HT","4"
"98","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",18,1.9,"D","STP","H",3,1,4,"HT","4"
"99","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",19,1.9,"D","STP","H",3,1,4,"HT","4"
"100","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",20,2,"D","STP","H",3,1,4,"HT","4"
"101","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",21,2.1,"D","STP","H",3,1,4,"HT","5"
"102","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",22,2.8,"D","STP","H",3,1,4,"HT","5"
"103","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",23,2.9,"D","STP","H",3,1,4,"HT","5"
"104","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",24,2.8,"D","STP","H",3,1,4,"HT","5"
"105","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",25,2.6,"D","STP","H",3,1,4,"HT","5"
"106","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",26,2.6,"D","STP","H",3,1,4,"HT","6"
"107","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",27,2.6,"D","STP","H",3,1,4,"HT","6"
"108","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",28,2.4,"D","STP","H",3,1,4,"HT","6"
"109","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",29,2.4,"D","STP","H",3,1,4,"HT","6"
"110","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",30,2.4,"D","STP","H",3,1,4,"HT","6"
"111","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",31,2.4,"D","STP","H",3,1,4,"HT","7"
"112","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",32,2.4,"D","STP","H",3,1,4,"HT","7"
"113","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",33,2.4,"D","STP","H",3,1,4,"HT","7"
"114","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",34,2.8,"D","STP","H",3,1,4,"HT","7"
"115","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",35,3.2,"D","STP","H",3,1,4,"HT","7"
"116","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",36,3.5,"D","STP","H",3,1,4,"HT","8"
"117","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",37,3.6,"D","STP","H",3,1,4,"HT","8"
"118","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",38,3.9,"D","STP","H",3,1,4,"HT","8"
"119","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",39,3.9,"D","STP","H",3,1,4,"HT","8"
"120","LM","16/10/2020","PLOT-001.3	N00",1,3,1,"W",40,3.2,"D","STP","H",3,1,4,"HT","8"
"121","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",1,0.8,"D","STP","H",3,1,4,"HT","1"
"122","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",2,0.8,"D","STP","H",3,1,4,"HT","1"
"123","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",3,0.8,"D","STP","H",3,1,4,"HT","1"
"124","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",4,0.8,"D","STP","H",3,1,4,"HT","1"
"125","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",5,0.9,"D","STP","H",3,1,4,"HT","1"
"126","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",6,0.9,"D","STP","H",3,1,4,"HT","2"
"127","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",7,1.7,"D","STP","H",3,1,4,"HT","2"
"128","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",8,1.7,"D","STP","H",3,1,4,"HT","2"
"129","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",9,1.7,"D","STP","H",3,1,4,"HT","2"
"130","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",10,1.7,"D","STP","H",3,1,4,"HT","2"
"131","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",11,2.8,"D","STP","H",3,1,4,"HT","3"
"132","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",12,2.8,"D","STP","H",3,1,4,"HT","3"
"133","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",13,2.8,"D","STP","H",3,1,4,"HT","3"
"134","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",14,2.8,"D","STP","H",3,1,4,"HT","3"
"135","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",15,2.8,"D","STP","H",3,1,4,"HT","3"
"136","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",16,2.8,"D","STP","H",3,1,4,"HT","4"
"137","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",17,3,"D","STP","H",3,1,4,"HT","4"
"138","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",18,3.2,"D","STP","H",3,1,4,"HT","4"
"139","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",19,3.2,"D","STP","H",3,1,4,"HT","4"
"140","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",20,3,"D","STP","H",3,1,4,"HT","4"
"141","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",21,3.2,"D","STP","H",3,1,4,"HT","5"
"142","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",22,3.4,"D","STP","H",3,1,4,"HT","5"
"143","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",23,3.4,"D","STP","H",3,1,4,"HT","5"
"144","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",24,3.4,"D","STP","H",3,1,4,"HT","5"
"145","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",25,3.4,"D","STP","H",3,1,4,"HT","5"
"146","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",26,0.6,"D","STP","H",3,1,4,"HT","6"
"147","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",27,0.6,"D","STP","H",3,1,4,"HT","6"
"148","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",28,0.6,"D","STP","H",3,1,4,"HT","6"
"149","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",29,3.3,"D","STP","H",3,1,4,"HT","6"
"150","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",30,3.3,"D","STP","H",3,1,4,"HT","6"
"151","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",31,3.3,"D","STP","H",3,1,4,"HT","7"
"152","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",32,3.2,"D","STP","H",3,1,4,"HT","7"
"153","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",33,3.2,"D","STP","H",3,1,4,"HT","7"
"154","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",34,2.3,"D","STP","H",3,1,4,"HT","7"
"155","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",35,2.3,"D","STP","H",3,1,4,"HT","7"
"156","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",36,2.3,"D","STP","H",3,1,4,"HT","8"
"157","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",37,2.3,"D","STP","H",3,1,4,"HT","8"
"158","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",38,2.3,"D","STP","H",3,1,4,"HT","8"
"159","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",39,2.3,"D","STP","H",3,1,4,"HT","8"
"160","LM","16/10/2020","PLOT-001.4	N00",1,4,1,"W",40,2.3,"D","STP","H",3,1,4,"HT","8"
"161","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",1,0.5,"D","STP","H",3,1,4,"HT","1"
"162","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",2,0.5,"D","STP","H",3,1,4,"HT","1"
"163","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",3,1.2,"D","STP","H",3,1,4,"HT","1"
"164","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",4,1.2,"D","STP","H",3,1,4,"HT","1"
"165","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",5,1.1,"D","STP","H",3,1,4,"HT","1"
"166","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",6,1.1,"D","STP","H",3,1,4,"HT","2"
"167","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",7,1,"D","STP","H",3,1,4,"HT","2"
"168","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",8,1.2,"D","STP","H",3,1,4,"HT","2"
"169","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",9,1.5,"D","STP","H",3,1,4,"HT","2"
"170","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",10,1.6,"D","STP","H",3,1,4,"HT","2"
"171","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",11,1.6,"D","STP","H",3,1,4,"HT","3"
"172","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",12,1.6,"D","STP","H",3,1,4,"HT","3"
"173","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",13,1.6,"D","STP","H",3,1,4,"HT","3"
"174","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",14,1.7,"D","STP","H",3,1,4,"HT","3"
"175","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",15,1.7,"D","STP","H",3,1,4,"HT","3"
"176","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",16,1.8,"D","STP","H",3,1,4,"HT","4"
"177","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",17,1.9,"D","STP","H",3,1,4,"HT","4"
"178","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",18,2.1,"D","STP","H",3,1,4,"HT","4"
"179","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",19,2.4,"D","STP","H",3,1,4,"HT","4"
"180","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",20,2.4,"D","STP","H",3,1,4,"HT","4"
"181","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",21,2.3,"D","STP","H",3,1,4,"HT","5"
"182","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",22,2.3,"D","STP","H",3,1,4,"HT","5"
"183","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",23,2.3,"D","STP","H",3,1,4,"HT","5"
"184","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",24,2,"D","STP","H",3,1,4,"HT","5"
"185","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",25,2,"D","STP","H",3,1,4,"HT","5"
"186","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",26,2,"D","STP","H",3,1,4,"HT","6"
"187","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",27,2,"D","STP","H",3,1,4,"HT","6"
"188","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",28,2.1,"D","STP","H",3,1,4,"HT","6"
"189","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",29,2.4,"D","STP","H",3,1,4,"HT","6"
"190","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",30,2.7,"D","STP","H",3,1,4,"HT","6"
"191","LM","16/10/2020","PLOT-001.5	N00",1,5,1,"W",31,2.3,"D","STP","H",3,1,4,"HT","7"
